recording,subject,n_drop,trial,method,temporal_r,rmse_uv,sdr_db,n_good
G001Day1Rest1.cnt,G001,8,1,nearest,0.431,67.457,-0.535,54
G001Day1Rest1.cnt,G001,8,1,linear,0.9886,3.666,24.762,54
G001Day1Rest1.cnt,G001,8,1,spline,0.5093,52.102,1.709,54
G001Day1Rest1.cnt,G001,8,2,nearest,0.1979,74.672,-5.714,54
G001Day1Rest1.cnt,G001,8,2,linear,0.9234,4.32,19.039,54
G001Day1Rest1.cnt,G001,8,2,spline,0.0946,47.479,-1.781,54
G001Day1Rest1.cnt,G001,16,1,nearest,0.0177,84.659,-2.745,46
G001Day1Rest1.cnt,G001,16,1,linear,0.9238,5.459,21.066,46
G001Day1Rest1.cnt,G001,16,1,spline,0.5875,174.309,-9.018,46
G001Day1Rest1.cnt,G001,16,2,nearest,0.1146,91.642,-2.736,46
G001Day1Rest1.cnt,G001,16,2,linear,0.9874,3.626,25.318,46
G001Day1Rest1.cnt,G001,16,2,spline,0.0086,73.005,-0.761,46
G001Day1Rest1.cnt,G001,24,1,nearest,0.1123,77.001,-2.846,38
G001Day1Rest1.cnt,G001,24,1,linear,0.9306,4.514,21.792,38
G001Day1Rest1.cnt,G001,24,1,spline,0.1508,85.691,-3.775,38
G001Day1Rest1.cnt,G001,24,2,nearest,0.3854,75.727,-1.798,38
G001Day1Rest1.cnt,G001,24,2,linear,0.9109,5.648,20.75,38
G001Day1Rest1.cnt,G001,24,2,spline,0.463,189.037,-9.744,38
G001Day1Rest1.cnt,G001,32,1,nearest,0.0845,72.05,-1.156,30
G001Day1Rest1.cnt,G001,32,1,linear,0.9383,5.525,21.15,30
G001Day1Rest1.cnt,G001,32,1,spline,0.2896,92.475,-3.324,30
G001Day1Rest1.cnt,G001,32,2,nearest,0.0845,72.05,-1.156,30
G001Day1Rest1.cnt,G001,32,2,linear,0.9383,5.525,21.15,30
G001Day1Rest1.cnt,G001,32,2,spline,0.2896,92.475,-3.324,30
G001Day1Rest1.cnt,G001,40,1,nearest,0.1654,64.947,-0.069,22
G001Day1Rest1.cnt,G001,40,1,linear,0.9436,4.872,22.429,22
G001Day1Rest1.cnt,G001,40,1,spline,-0.2455,105.531,-4.285,22
G001Day1Rest1.cnt,G001,40,2,nearest,-0.1577,71.488,-0.783,22
G001Day1Rest1.cnt,G001,40,2,linear,0.9518,5.096,22.158,22
G001Day1Rest1.cnt,G001,40,2,spline,-0.497,205.93,-9.973,22
G001Day1Rest1.cnt,G001,48,1,nearest,0.0551,66.204,-0.876,14
G001Day1Rest1.cnt,G001,48,1,linear,0.933,5.046,21.483,14
G001Day1Rest1.cnt,G001,48,1,spline,0.0058,202.778,-10.599,14
G001Day1Rest1.cnt,G001,48,2,nearest,0.3862,68.39,0.007,14
