recording,subject,n_drop,pattern,trial,method,temporal_r,rmse_uv,sdr_db
G001Day1Rest1.cnt,G001,2,scattered,1,nearest,0.9969,61.463,-3.354
G001Day1Rest1.cnt,G001,2,scattered,1,linear,0.9962,3.005,22.862
G001Day1Rest1.cnt,G001,2,scattered,1,spline,0.9967,13.809,9.615
G001Day1Rest1.cnt,G001,2,scattered,2,nearest,-0.0246,85.68,-3.66
G001Day1Rest1.cnt,G001,2,scattered,2,linear,0.9917,3.505,24.105
G001Day1Rest1.cnt,G001,2,scattered,2,spline,-0.5257,66.655,-1.479
G001Day1Rest1.cnt,G001,2,contiguous,1,nearest,0.959,21.472,4.539
G001Day1Rest1.cnt,G001,2,contiguous,1,linear,0.9584,4.27,18.569
G001Day1Rest1.cnt,G001,2,contiguous,1,spline,0.9602,35.295,0.223
G001Day1Rest1.cnt,G001,2,contiguous,2,nearest,0.3967,94.533,-12.766
G001Day1Rest1.cnt,G001,2,contiguous,2,linear,0.6903,4.138,14.41
G001Day1Rest1.cnt,G001,2,contiguous,2,spline,0.4091,77.411,-11.03
G001Day1Rest1.cnt,G001,8,scattered,1,nearest,-0.393,103.638,-3.496
G001Day1Rest1.cnt,G001,8,scattered,1,linear,0.9856,4.709,23.355
G001Day1Rest1.cnt,G001,8,scattered,1,spline,-0.4735,96.375,-2.865
G001Day1Rest1.cnt,G001,8,scattered,2,nearest,0.495,82.054,-1.665
G001Day1Rest1.cnt,G001,8,scattered,2,linear,0.9891,3.204,26.504
G001Day1Rest1.cnt,G001,8,scattered,2,spline,-0.1249,72.869,-0.634
G001Day1Rest1.cnt,G001,8,contiguous,1,nearest,0.431,67.457,-0.535
G001Day1Rest1.cnt,G001,8,contiguous,1,linear,0.9886,3.666,24.762
G001Day1Rest1.cnt,G001,8,contiguous,1,spline,0.5093,52.102,1.709
G001Day1Rest1.cnt,G001,8,contiguous,2,nearest,0.1979,74.672,-5.714
G001Day1Rest1.cnt,G001,8,contiguous,2,linear,0.9234,4.32,19.039
G001Day1Rest1.cnt,G001,8,contiguous,2,spline,0.0946,47.479,-1.781
G001Day1Rest1.cnt,G001,16,scattered,1,nearest,0.1501,73.981,-3.17
G001Day1Rest1.cnt,G001,16,scattered,1,linear,0.9171,4.254,21.636
G001Day1Rest1.cnt,G001,16,scattered,1,spline,-0.2366,73.132,-3.069
G001Day1Rest1.cnt,G001,16,scattered,2,nearest,0.4737,55.244,-1.94
G001Day1Rest1.cnt,G001,16,scattered,2,linear,0.9196,3.791,21.329
G001Day1Rest1.cnt,G001,16,scattered,2,spline,0.0217,67.435,-3.672
